datetime,radiation,windspeed_100m,total_substation,total_solar_part,total_wind_part,lat,lon,solar_on,wind_on,Hour,Minute,var0,var1,var2,sem0,sem1,sem2,min0,min1,max0,max1
2021-07-31 00:15:00+00:00,1e-10,12.94314384,-14.51,0,-9.09,52.5150949,5.4768915,0,1,0,15,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 00:30:00+00:00,1e-10,12.81846619,-18.04,0,-11.26,52.5150949,5.4768915,0,1,0,30,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 00:45:00+00:00,0.0,12.69378853,-19.54,0,-12.46,52.5150949,5.4768915,0,1,0,45,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 01:00:00+00:00,0.0,12.56911087,-15.88,0,-9.67,52.5150949,5.4768915,0,1,1,0,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 01:15:00+00:00,-1e-10,12.46632075,-20.32,0,-11.4,52.5150949,5.4768915,0,1,1,15,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 01:30:00+00:00,-1e-10,12.36353064,-23.51,0,-13.34,52.5150949,5.4768915,0,1,1,30,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 01:45:00+00:00,-1e-10,12.26074052,-22.87,0,-12.63,52.5150949,5.4768915,0,1,1,45,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 02:00:00+00:00,-1e-10,12.1579504,-23.4,0,-13.7,52.5150949,5.4768915,0,1,2,0,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 02:15:00+00:00,0.0,12.45059371,-16.7,0,-10.9,52.5150949,5.4768915,0,1,2,15,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 02:30:00+00:00,0.0,12.74323702,-13.54,0,-9.01,52.5150949,5.4768915,0,1,2,30,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 02:45:00+00:00,5029.185059,13.03588033,-11.85,0,-8.42,52.5150949,5.4768915,0,1,2,45,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 03:00:00+00:00,10058.37012,13.32852364,-12.95,0,-8.26,52.5150949,5.4768915,0,1,3,0,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 03:15:00+00:00,15087.55518,13.33247828,-13.74,0,-8.33,52.5150949,5.4768915,0,1,3,15,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 03:30:00+00:00,20116.74023,13.33643293,-16.38,0,-9.57,52.5150949,5.4768915,0,1,3,30,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
2021-07-31 03:45:00+00:00,71003.87939,13.34038758,-17.14,0,-10.56,52.5150949,5.4768915,0,1,3,45,428831203185.66034,11.7797176893133,93.12760155795357,6968.088518888953,0.036520600588693,0.10268563163614797,0.0,-22.49,0.0,0.43
